term_set,label,pattern,attr,replace,extra1,extra2
insect_anatomy,subpart,brush,lower,,,
insect_anatomy,subpart,end,lower,,,
insect_anatomy,subpart,ends,lower,,,
insect_anatomy,subpart,fringe,lower,,,
insect_anatomy,subpart,horn,lower,horn,,
insect_anatomy,subpart,horns,lower,horn,,
insect_anatomy,subpart,margin,lower,margin,,
insect_anatomy,subpart,margins,lower,margin,,
insect_anatomy,subpart,plate,lower,plate,,
insect_anatomy,subpart,plates,lower,plate,,
insect_anatomy,subpart,sclerite,lower,sclerite,,
insect_anatomy,subpart,sclerites,lower,sclerite,,
insect_anatomy,subpart,segment,lower,segment,,
insect_anatomy,subpart,segments,lower,segment,,
insect_anatomy,subpart,side,lower,,,
insect_anatomy,subpart,sides,lower,,,
insect_anatomy,subpart,suture,lower,,,
insect_anatomy,subpart,sutures,lower,suture,,
insect_anatomy,subpart,tip,lower,,,
insect_anatomy,subpart,tips,lower,,,
numerics,ordinal,first,lower,,,
numerics,ordinal,second,lower,,,
numerics,ordinal,third,lower,,,
numerics,ordinal,fourth,lower,,,
numerics,ordinal,fifth,lower,,,
numerics,ordinal,sixth,lower,,,
numerics,ordinal,seventh,lower,,,
numerics,ordinal,eighth,lower,,,
numerics,ordinal,ninth,lower,,,
numerics,ordinal,tenth,lower,,,
numerics,ordinal,eleventh,lower,,,
numerics,ordinal,twelfth,lower,,,
numerics,ordinal,1st,lower,,,
numerics,ordinal,2nd,lower,,,
numerics,ordinal,3rd,lower,,,
numerics,ordinal,4th,lower,,,
numerics,ordinal,5th,lower,,,
numerics,ordinal,6th,lower,,,
numerics,ordinal,7th,lower,,,
numerics,ordinal,8th,lower,,,
numerics,ordinal,9th,lower,,,
numerics,ordinal,10th,lower,,,
numerics,ordinal,11th,lower,,,
numerics,ordinal,12th,lower,,,
numerics,number_word,zero,lower,0,,
numerics,number_word,one,lower,1,,
numerics,number_word,two,lower,2,,
numerics,number_word,three,lower,3,,
numerics,number_word,four,lower,4,,
numerics,number_word,five,lower,5,,
numerics,number_word,six,lower,6,,
numerics,number_word,seven,lower,7,,
numerics,number_word,eight,lower,8,,
numerics,number_word,nine,lower,9,,
numerics,number_word,ten,lower,10,,
numerics,number_word,eleven,lower,11,,
numerics,number_word,twelve,lower,12,,
numerics,numeric_units,hundred,lower,100.0,,
numerics,numeric_units,hundreds,lower,100.0,,
numerics,numeric_units,thousand,lower,1000.0,,
numerics,numeric_units,thousands,lower,1000.0,,
numerics,roman,i,lower,1.0,,
numerics,roman,ii,lower,2.0,,
numerics,roman,iii,lower,3.0,,
numerics,roman,iv,lower,4.0,,
numerics,roman,v,lower,5.0,,
numerics,roman,vi,lower,6.0,,
numerics,roman,vii,lower,7.0,,
numerics,roman,viii,lower,8.0,,
numerics,roman,ix,lower,9.0,,
numerics,roman,x,lower,10.0,,
numerics,roman,xi,lower,11.0,,
numerics,roman,x11,lower,12.0,,
time,month,apr,lower,April,,
time,month,apr.,lower,April,,
time,month,april,lower,April,,
time,month,aug,lower,August,,
time,month,aug.,lower,August,,
time,month,august,lower,August,,
time,month,dec,lower,December,,
time,month,dec.,lower,December,,
time,month,december,lower,December,,
time,month,feb,lower,February,,
time,month,feb.,lower,February,,
time,month,february,lower,February,,
time,month,jan,lower,January,,
time,month,jan.,lower,January,,
time,month,january,lower,January,,
